Cliente,Venda / Aluguer,NOS / VDF,Report / Projeto / contrato,Técnicos,Intervenção,Motivo,Ação efetuada,Equipamentos,Bundles,Acessórios gastos,faturar,Validação Backoffice,Dados de Canbus via,Pino D8,Movimento Primavera,Armazém de saida de stock,Armazém de Entrada de stock,Equipamento assistido,Garantia Equipamento (1 ano) / Aluguer pago (3 anos),Contas Intranet
transgomesparedes,,,Não,,,,,,,,,,,,,,,,,
Transgupex,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
TransIlhavo - Venda,Venda,NOS,Não,,,,,,,,,,,,,,,,,
TRANSJHL,,,Não,,,,,,,,,,,,,,,,,
Translucibel,Aluguer,,Não,,,,,,,,,,,,,,,,,
Transmãe,Aluguer,,Não,,,,,,,,,,,,,,,,,
transmaior,,,Não,,,,,,,,,,,,,,,,,
transmatos,,,Não,,,,,,,,,,,,,,,,,
Transmenino,,,Não,,,,,,,,,,,,,,,,,
Transmilagres,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transnate,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transneiva,,,Não,,,,,,,,,,,,,,,,,
transnewline,,,Não,,,,,,,,,,,,,,,,,
Transparcela,Aluguer,,Não,,,,,,,,,,,,,,,,,
Transportes António Frias Matos,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Carloto,Aluguer,,Não,,,,,,,,,,,,,,,,,
Transportes Cartage,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes do Valado,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes E. Viegas,,,Não,,,,,,,,,,,,,,,,,
Transportes Ezequiel,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Fábio Martins,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Felipe e Cátia,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Fernando Viegas (Transviegas),Venda,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Gomes Sousa,Venda,,Não,,,,,,,,,,,,,,,,,
Transportes Guardense,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Ilba,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Lagariça,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Lindo,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transilhavo - aluguer - antigo,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Mixao,Venda,,Não,,,,,,,,,,,,,,,,,
Transportes Os Rolas,Venda,,Não,,,,,,,,,,,,,,,,,
Transportes Pardieiro,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Tiago & Carla - Aluguer,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Repolho,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Rodrigues & Santiago,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Roupeta,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Sardão,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Transportes Tiago & Carla,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Tirmaia - aluguer,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Tirmaia - venda,Venda,NOS,Não,,,,,,,,,,,,,,,,,
TRANSR,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transruelsa,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Transportes de Mercadorias Vascormendes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Luis Silva  - NOS,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Luis Silva  - VDF,Venda,VDF,Não,,,,,,,,,,,,,,,,,
Luis Silva - Alug. VDF ,Aluguer,VDF,Não,,,,,,,,,,,,,,,,,
Luis Silva - Alug. NOS,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Rita Santos - Comercial,Venda,NOS,Não,,,,,,,,,,,,,,,,,
TriunfAlegria,,,Não,,,,,,,,,,,,,,,,,
Trilhos Dinâmicos,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Tropical Opportunity,Venda,NOS,Não,,,,,,,,,,,,,,,,,
tsgomes,,,Não,,,,,,,,,,,,,,,,,
tsm,,,Não,,,,,,,,,,,,,,,,,
Tubogal,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Turbinastrans,Venda,,Não,,,,,,,,,,,,,,,,,
Turilux,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
turrisconta,,,Não,,,,,,,,,,,,,,,,,
TW Security Systems,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Uber,Venda,NOS,Não,,,,,,,,,,,,,,,,,
UniLubes,Venda,NOS,Não,,,,,,,,,,,,,,,,,
UNITRACTORES,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
utecnica,,,Não,,,,,,,,,,,,,,,,,
Vale do Ave,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
valerius,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Valouro,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
valpibus,,,Não,,,,,,,,,,,,,,,,,
Vamaro,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
VCLN,,,Não,,,,,,,,,,,,,,,,,
VDF - A Raiado,Venda,Vodafone,Não,CG,Instalação,Validar Can,Refeitas ligações,C4MAX LITE,TB41,AC100,,MS,,,,CG,CG,,,
VDF - ANIA,Venda,Vodafone,Não,,,,,FOX EN,,,,,,,,,,,,
VDF - Astrolimpa,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Avoutiz,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Barometro,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Bollinghaus,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Bolloré,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - BV Paço Arcos,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Carlos Costa Gomes,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Chama Amarela,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Classe II,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - DANESTI,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - DFBlock,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Diviminho - M2W,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - ETAF - TRANSPORTES FIGUEIREDO,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - F Fonseca,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Ferreira & Barbosa,,Vodafone,Não,,,,,,,,,,,,,,,,,
Frutanibal,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
VDF - Gadoor,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - GRANEL,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Grupolis,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Happybulk,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - HPM,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Isilda Oliveira,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - JBarroso,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Laso,Aluguer,Vodafone,Report_Laso,,,,,,,,,,,,,,,,,
VDF - Lusopavia,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Luz & Som,venda,Vodafone,não,,,,,,,,,,,,,,,,,
VDF - M.E.L.,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Maby-Tour,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Magikcourtesy,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Majodir,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Manobra Frequente,,Vodafone,Não,,,,,,,,,,,,,,,,,
"Manuel Mendes, Lda - Try and Buy",Venda,NOS,Não,,,,,,,,,,,,,,,,,
VDF - Moagem Ceres,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - MotorBus,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Mota Engil,Venda,Vodafone,Projeto,,,,,,,,,,,,,,,,,
VDF - NEXTPROJECT,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Nota Razoável,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Nova Lavoura Gaia,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Oscacer,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Penatir,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Penatir - cliente hibrido,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
VDF - Rações Zezere,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Rui Costa & Sousa,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Espiga d'Ouro - FL,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
VDF - Sandra Oliveira,,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - T Gama,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Tabela Indispensável,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - TAF - Transportes Antunes Figueiras,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - TFO - Ferreira & Oliveira,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Thanks Rent a Car,,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - TIFF,Venda,Vodafone,projeto troca cartões,,,,,,,,,,,,,,,,,
VDF - trans7,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Transamera,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - TransBranca,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Transconde,VENDA,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Transmorro,,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Transportes Aguieira,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Transportes Lázaro,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Transportes Matos,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF -TMP - Transportes Marques Pombal,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDF - Violinos Betão,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
VDL Car,,,Não,,,,,,,,,,,,,,,,,
VianaFogo,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Gomes & Dornelles,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Vidal Figueiredo,,,,,,,,,,,,,,,,,,,,
Viegas & Filhos,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Vimétrica,Venda,NOS,,,,,,,,,,,,,,,,,,
VitalObras,Venda,NOS,Não,,,,,,,,,,,,,,,,,
vitatech,,,,,,,,,,,,,,,,,,,,
Estufas Europa- Aluguer,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
VNP,Venda,NOS,Não,,,,,,,,,,,,,,,,,
VPF,,,Não,,,,,,,,,,,,,,,,,
Wedo Limpezas,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
westcable,,,Não,,,,,,,,,,,,,,,,,
Widelink,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Wilson Ricardo e Vanessa,,,Não,,,,,,,,,,,,,,,,,
Wine & Soul,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transmarsil - Try and Buy,Venda,NOS,Contrato,,,,,,,,,,,,,,,,,
StopTruck,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Quinta & Santos,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
zevacargo,,,Não,,,,,,,,,,,,,,,,,
ZÊZEROVO,,,Não,,,,,,,,,,,,,,,,,
Zfrost,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
ZoomInvest,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Zviroboy,Venda,NOS,Não,,,,,,,,,,,,,,,,,
RMA - NOS,Venda,NOS,Não,Não Aplicável,Anomalia/ Avaria,Equipamento sem comunicações,Substituição de equipamento,,TB01,CAN100,Sim,MA,FMS,Sim,Sim,Não Aplicável,Não Aplicável,,,
RMA - VDF,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
RMA - Alg. NOS,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
RMA - Alg. VDF,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
Frotcom Lusitana - NOS,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Frotcom Lusitana - VDF,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Frotcom Lusitana Alg. - NOS,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Frotcom Lusitana Alg. - VDF,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
S.A. & Simões,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Pedro & Barros Transportes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Klog Transportes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Kadarp,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
CTT,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Maneira Abstrata,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
A Dos Negros,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
ABA,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Amorim Florestal,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Arraial Ingredientes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Arruda Road,Venda,NOS,Não,,,,,,,,,,,,,,,,,
J. Rodrigues & Ferreira Lda,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Bernardo Marques - Alg. NOS,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Bernardo Marques - Alg. VDF,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
Bernardo Marques - NOS,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Bricotir,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Carla F Fonseca,Venda,NOS,Não,,,,,,,,,,,,,,,,,
CENES,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Código Invencível,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Cosvalinox,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Espiga d'Ouro,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
ETA,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Evcapitis,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Filstone,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
FJPC,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
FPS,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Genestate,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Golden Fibra,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Gubec,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Horas Efusivas,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Imponente turbo,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
INESOFMAID,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
INI,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Invescorte,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
ISQ,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Keep On,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Leal Serra,Venda,NOS,Não,,,,,,,,,,,,,,,,,
LIDERCISTER / TCPombalense,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Ligação Veloz,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Litocartão,Venda,NOS,Não,,,,,,,,,,,,,,,,,
LLORETRANS,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Lusiaves,Aluguer,NOS,Report Lusiaves,,,,,,,,,,,,,,,,,
Mariano Ramos - Madeiras,Aluguer,Nos,Não,,,,,,,,,,,,,,,,,
MegaEnergia,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Ovnitur,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Plutão Soberano,Venda,NOS,Não,,,,,,,,,,,,,,,,,
PML,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Qualimais - Venda,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Rodonorte,Venda,NOS,não,,,,,,,,,,,,,,,,,
Rodrigo Lima - Alg. NOS,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Rodrigo Lima - NOS,Venda,NOS,Não,,,,,,,,,,,,,,,,,
TC Barreiro,Venda,NOS,Não,,,,,,,,,,,,,,,,,
TCPombalense,Aluguer,NOS,Report Pombalense,,,,,,,,,,,,,,,,,
Cliente,,,,,,,,,,,,,,,,,,,,
Panike,Try and Buy,NOS,Não,,,,,,,,,,,,,,,,,
Leonel Jesus Duarte & Filho ,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Arruda Road,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Bernardo Marques - NOS,Venda,NOS,Não,,,,,,,,,,,,,,,,,
ABA,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Amorim Florestal,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Bricotir,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Bernardo Marques - Alg. VDF,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
Kadarp,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Sousa & Monteiro,Venda,NOS,Não,,,,,,,,,,,,,,,,,
J. Rodrigues & Ferreira Lda,,,Não,,,,,,,,,,,,,,,,,
Arraial Ingredientes,,,Não,,,,,,,,,,,,,,,,,
CTT,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Bernardo Marques - Alg. NOS,,,Não,,,,,,,,,,,,,,,,,
Bricotir,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
A Dos Negros,,,Não,,,,,,,,,,,,,,,,,
TCPombalense,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Translegua,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
António Pinto,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Sentineltransition,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Beiracargo -Transportes - Try and Buy,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Beiracargo II -Transportes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Toyota Caetano - Delegação Norte,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transfradelos ,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Sarendur,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
3 Pillars,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Robustwishes,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Identipor - Alug.,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
MGR Transportes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Iguana Tours ,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Fontes Carvalho,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Drillma,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
TEvaristo,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Cimonturbo - Try and Buy,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Gomes & Dornelles,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Luis Silva  - NOS,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Luis Silva  - VDF,Venda,VDF,Não,,,,,,,,,,,,,,,,,
Luis Silva - Alug. VDF ,Aluguer,VDF,Não,,,,,,,,,,,,,,,,,
Luis Silva - Alug. NOS,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Panike,,,,,,,,,,,,,,,,,,,,
Leonel Jesus Duarte & Filho ,,,,,,,,,,,,,,,,,,,,
Arruda Road,,,,,,,,,,,,,,,,,,,,
Bernardo Marques - NOS,,,,,,,,,,,,,,,,,,,,
ABA,,,,,,,,,,,,,,,,,,,,
Amorim Florestal,,,,,,,,,,,,,,,,,,,,
Bricotir,,,,,,,,,,,,,,,,,,,,
Bernardo Marques - Alg. VDF,,,,,,,,,,,,,,,,,,,,
Kadarp,,,,,,,,,,,,,,,,,,,,
Sousa & Monteiro,,,,,,,,,,,,,,,,,,,,
J. Rodrigues & Ferreira Lda,,,,,,,,,,,,,,,,,,,,
Arraial Ingredientes,,,,,,,,,,,,,,,,,,,,
CTT,,,,,,,,,,,,,,,,,,,,
Bernardo Marques - Alg. NOS,,,,,,,,,,,,,,,,,,,,
Bricotir,,,,,,,,,,,,,,,,,,,,
A Dos Negros,,,,,,,,,,,,,,,,,,,,
